item,itemLabel,country,countryLabel,writing,writingType,lang
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Мерзорг,label,ru
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Meerzorg,label,sh
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Ansu,label,srn
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Мерзорґ,label,uk
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,میرزورگ,label,ur
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,梅爾佐格,label,zh
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,梅尔佐格,label,zh-hans
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,梅爾佐格,label,zh-hant
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,梅爾佐格,label,zh-hk
http://www.wikidata.org/entity/Q104186199,Curaçao,http://www.wikidata.org/entity/Q7646305,Suriname,Curaçao (Wanica Kreek),alias,en
http://www.wikidata.org/entity/Q104186199,Curaçao,http://www.wikidata.org/entity/Q7646305,Suriname,Curaçao,label,en
http://www.wikidata.org/entity/Q104186199,Curaçao,http://www.wikidata.org/entity/Q7646305,Suriname,Curaçao (Wanicakreek),alias,nl
http://www.wikidata.org/entity/Q104186199,Curaçao,http://www.wikidata.org/entity/Q7646305,Suriname,Curaçao,label,nl
http://www.wikidata.org/entity/Q104186352,De Herstelling,http://www.wikidata.org/entity/Q7646305,Suriname,De Herstelling (Saramacca),label,en
http://www.wikidata.org/entity/Q104186352,De Herstelling,http://www.wikidata.org/entity/Q7646305,Suriname,De Herstelling (Saramaccarivier),alias,nl
http://www.wikidata.org/entity/Q104186352,De Herstelling,http://www.wikidata.org/entity/Q7646305,Suriname,De Herstelling,label,nl
http://www.wikidata.org/entity/Q111893643,Burnside,http://www.wikidata.org/entity/Q730,Suriname,Burnside,label,en
http://www.wikidata.org/entity/Q111893643,Burnside,http://www.wikidata.org/entity/Q730,Suriname,Burnside,label,nl
http://www.wikidata.org/entity/Q111904390,Palestina,http://www.wikidata.org/entity/Q7646305,Suriname,Palestina,label,en
http://www.wikidata.org/entity/Q111904390,Palestina,http://www.wikidata.org/entity/Q7646305,Suriname,Palestina,label,nl
http://www.wikidata.org/entity/Q12013270,Peperpot,http://www.wikidata.org/entity/Q730,Suriname,Peperpot,label,en
http://www.wikidata.org/entity/Q12013270,Peperpot,http://www.wikidata.org/entity/Q730,Suriname,Peperpot,label,nl
http://www.wikidata.org/entity/Q12013270,Peperpot,http://www.wikidata.org/entity/Q730,Suriname,Peprépatu,label,srn
http://www.wikidata.org/entity/Q124799317,Gloria,http://www.wikidata.org/entity/Q7646305,Suriname,Gloria (Tawaycoera),alias,en
http://www.wikidata.org/entity/Q124799317,Gloria,http://www.wikidata.org/entity/Q7646305,Suriname,Gloria (Para),label,en
http://www.wikidata.org/entity/Q124799317,Gloria,http://www.wikidata.org/entity/Q7646305,Suriname,Gloria,label,nl
http://www.wikidata.org/entity/Q124805743,Welgelegen,http://www.wikidata.org/entity/Q7646305,Suriname,Welgelegen (Cottica),label,en
http://www.wikidata.org/entity/Q124805743,Welgelegen,http://www.wikidata.org/entity/Q7646305,Suriname,Welgelegen,label,nl
http://www.wikidata.org/entity/Q124805807,Welgelegen,http://www.wikidata.org/entity/Q7646305,Suriname,Welgelegen (Commewijne),label,en
http://www.wikidata.org/entity/Q124805807,Welgelegen,http://www.wikidata.org/entity/Q7646305,Suriname,Welgelegen,label,nl
http://www.wikidata.org/entity/Q124805910,Weltevreden,http://www.wikidata.org/entity/Q7646305,Suriname,Weltevreden,label,en
http://www.wikidata.org/entity/Q124805910,Weltevreden,http://www.wikidata.org/entity/Q7646305,Suriname,Weltevreden (Saramacca),label,mul
http://www.wikidata.org/entity/Q124805910,Weltevreden,http://www.wikidata.org/entity/Q7646305,Suriname,Weltevreden,label,nl
http://www.wikidata.org/entity/Q124805954,Weltevreden,http://www.wikidata.org/entity/Q7646305,Suriname,Weltevreden (Commewijne),label,en
http://www.wikidata.org/entity/Q124805954,Weltevreden,http://www.wikidata.org/entity/Q7646305,Suriname,Weltevreden,label,nl
http://www.wikidata.org/entity/Q124806121,Bergen op Zoom,http://www.wikidata.org/entity/Q7646305,Suriname,Berg op Zoom,alias,en
http://www.wikidata.org/entity/Q124806121,Bergen op Zoom,http://www.wikidata.org/entity/Q7646305,Suriname,Bergen op Zoom,label,en
http://www.wikidata.org/entity/Q124806121,Bergen op Zoom,http://www.wikidata.org/entity/Q7646305,Suriname,Berg op Zoom,alias,nl
http://www.wikidata.org/entity/Q124806121,Bergen op Zoom,http://www.wikidata.org/entity/Q7646305,Suriname,Bergen op Zoom,alias,nl
http://www.wikidata.org/entity/Q124806121,Bergen op Zoom,http://www.wikidata.org/entity/Q7646305,Suriname,Bergen op Zoom,label,nl
http://www.wikidata.org/entity/Q124806224,Nieuwe Aanleg,http://www.wikidata.org/entity/Q7646305,Suriname,Nieuwe Aanleg,label,en
http://www.wikidata.org/entity/Q124806224,Nieuwe Aanleg,http://www.wikidata.org/entity/Q7646305,Suriname,Nieuwe Aanleg,label,nl
http://www.wikidata.org/entity/Q124806237,Meerzorg,http://www.wikidata.org/entity/Q7646305,Suriname,Meerzorg,label,en
http://www.wikidata.org/entity/Q124806237,Meerzorg,http://www.wikidata.org/entity/Q7646305,Suriname,Meerzorg,label,nl
http://www.wikidata.org/entity/Q124808146,Geertruidenberg,http://www.wikidata.org/entity/Q7646305,Suriname,Geertruidenberg,label,en
http://www.wikidata.org/entity/Q124808146,Geertruidenberg,http://www.wikidata.org/entity/Q7646305,Suriname,Geertruidenberg,label,nl
http://www.wikidata.org/entity/Q124808303,Welgevallen,http://www.wikidata.org/entity/Q7646305,Suriname,Welgevallen,label,en
http://www.wikidata.org/entity/Q124808303,Welgevallen,http://www.wikidata.org/entity/Q7646305,Suriname,Welgevallen,label,nl
http://www.wikidata.org/entity/Q124808524,Lust en Rust,http://www.wikidata.org/entity/Q7646305,Suriname,Lust en Rust,label,en
http://www.wikidata.org/entity/Q124808568,Onverwacht,http://www.wikidata.org/entity/Q7646305,Suriname,Onverwacht (Para),label,en
http://www.wikidata.org/entity/Q124808568,Onverwacht,http://www.wikidata.org/entity/Q7646305,Suriname,Onverwagt,alias,nl
http://www.wikidata.org/entity/Q124808568,Onverwacht,http://www.wikidata.org/entity/Q7646305,Suriname,Onverwacht,label,nl
http://www.wikidata.org/entity/Q124808585,Onverwacht,http://www.wikidata.org/entity/Q7646305,Suriname,Onverwacht (Pad van Wanica),label,en
http://www.wikidata.org/entity/Q124808585,Onverwacht,http://www.wikidata.org/entity/Q7646305,Suriname,Onverwacht,label,nl
http://www.wikidata.org/entity/Q124812501,Abigaëlslust,http://www.wikidata.org/entity/Q7646305,Suriname,Abigaëlslust,label,en
http://www.wikidata.org/entity/Q124812501,Abigaëlslust,http://www.wikidata.org/entity/Q7646305,Suriname,Abigail's lust,alias,nl
http://www.wikidata.org/entity/Q124812501,Abigaëlslust,http://www.wikidata.org/entity/Q7646305,Suriname,Abigaëlslust,label,nl
http://www.wikidata.org/entity/Q124812970,Adrichem,http://www.wikidata.org/entity/Q7646305,Suriname,Adrichem,label,en
http://www.wikidata.org/entity/Q124815043,Anna's Rust,http://www.wikidata.org/entity/Q7646305,Suriname,Anna's Rust,alias,en
http://www.wikidata.org/entity/Q124815043,Anna's Rust,http://www.wikidata.org/entity/Q7646305,Suriname,Anna's Rust,label,en
http://www.wikidata.org/entity/Q124815043,Anna's Rust,http://www.wikidata.org/entity/Q7646305,Suriname,Anna's Rust,label,nl
http://www.wikidata.org/entity/Q124815044,Anna's Zorg (Aan),http://www.wikidata.org/entity/Q7646305,Suriname,Anna's Zorg (Aan),alias,en
http://www.wikidata.org/entity/Q124815044,Anna's Zorg (Aan),http://www.wikidata.org/entity/Q7646305,Suriname,Anna's Zorg (Aan),label,en
http://www.wikidata.org/entity/Q124815044,Anna's Zorg (Aan),http://www.wikidata.org/entity/Q7646305,Suriname,Aan Annaszorg,alias,nl
http://www.wikidata.org/entity/Q124815044,Anna's Zorg (Aan),http://www.wikidata.org/entity/Q7646305,Suriname,Klein Anna's Zorg,alias,nl
http://www.wikidata.org/entity/Q124815044,Anna's Zorg (Aan),http://www.wikidata.org/entity/Q7646305,Suriname,Anna's Zorg (Aan),label,nl
http://www.wikidata.org/entity/Q124815045,Augustenburg,http://www.wikidata.org/entity/Q7646305,Suriname,Augustenburg,alias,en
http://www.wikidata.org/entity/Q124815045,Augustenburg,http://www.wikidata.org/entity/Q7646305,Suriname,Augustenburg,label,en
http://www.wikidata.org/entity/Q124815045,Augustenburg,http://www.wikidata.org/entity/Q7646305,Suriname,Augustenburg,label,nl
http://www.wikidata.org/entity/Q124815047,Bekenhorst (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Bekenhorst (Land van),alias,en
http://www.wikidata.org/entity/Q124815047,Bekenhorst (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Bekenhorst (Land van),label,en
http://www.wikidata.org/entity/Q124815047,Bekenhorst (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Bekenhorst (Land van),label,nl
http://www.wikidata.org/entity/Q124816025,Bel-air,http://www.wikidata.org/entity/Q7646305,Suriname,Bel-air,label,en
http://www.wikidata.org/entity/Q124816025,Bel-air,http://www.wikidata.org/entity/Q7646305,Suriname,Belair,alias,nl
http://www.wikidata.org/entity/Q124816025,Bel-air,http://www.wikidata.org/entity/Q7646305,Suriname,Oud Belair,alias,nl
http://www.wikidata.org/entity/Q124816025,Bel-air,http://www.wikidata.org/entity/Q7646305,Suriname,Bel-air,label,nl
http://www.wikidata.org/entity/Q124819566,Berg Sinaï (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Berg Sinaï (Land van),label,en
http://www.wikidata.org/entity/Q124823172,Boavista en Welbedacht,http://www.wikidata.org/entity/Q7646305,Suriname,Boavista en Welbedagt,alias,en
http://www.wikidata.org/entity/Q124823172,Boavista en Welbedacht,http://www.wikidata.org/entity/Q7646305,Suriname,Boavista en Welbedacht,label,en
http://www.wikidata.org/entity/Q124823172,Boavista en Welbedacht,http://www.wikidata.org/entity/Q7646305,Suriname,Boavista en Welbedagt,alias,nl
http://www.wikidata.org/entity/Q124823172,Boavista en Welbedacht,http://www.wikidata.org/entity/Q7646305,Suriname,Boavista en Welbedacht,label,nl
http://www.wikidata.org/entity/Q124823173,Braamshoop,http://www.wikidata.org/entity/Q7646305,Suriname,Braamshoop,label,en
http://www.wikidata.org/entity/Q124823173,Braamshoop,http://www.wikidata.org/entity/Q7646305,Suriname,Bram's hoop,alias,nl
http://www.wikidata.org/entity/Q124823173,Braamshoop,http://www.wikidata.org/entity/Q7646305,Suriname,Brams hoop,alias,nl
http://www.wikidata.org/entity/Q124823173,Braamshoop,http://www.wikidata.org/entity/Q7646305,Suriname,Bramshoop,alias,nl
http://www.wikidata.org/entity/Q124823173,Braamshoop,http://www.wikidata.org/entity/Q7646305,Suriname,Braamshoop,label,nl
http://www.wikidata.org/entity/Q124823174,Bremen,http://www.wikidata.org/entity/Q7646305,Suriname,Bremen (Warappa),label,en
http://www.wikidata.org/entity/Q124823174,Bremen,http://www.wikidata.org/entity/Q7646305,Suriname,Bremen,label,nl
http://www.wikidata.org/entity/Q124823335,Breukelerwaard,http://www.wikidata.org/entity/Q7646305,Suriname,Breukelerwaard (Land van),label,en
http://www.wikidata.org/entity/Q124823335,Breukelerwaard,http://www.wikidata.org/entity/Q7646305,Suriname,Breukelerwaard,label,nl
http://www.wikidata.org/entity/Q124823336,Broedershoop,http://www.wikidata.org/entity/Q7646305,Suriname,Broedershoop (Warappa),label,en
http://www.wikidata.org/entity/Q124823336,Broedershoop,http://www.wikidata.org/entity/Q7646305,Suriname,Broedershoop,label,nl
http://www.wikidata.org/entity/Q124823337,Cabo de goede Hoop,http://www.wikidata.org/entity/Q7646305,Suriname,Cabo de goede Hoop,label,en
http://www.wikidata.org/entity/Q124823337,Cabo de goede Hoop,http://www.wikidata.org/entity/Q7646305,Suriname,Kaap de Goede Hoop,alias,nl
http://www.wikidata.org/entity/Q124823337,Cabo de goede Hoop,http://www.wikidata.org/entity/Q7646305,Suriname,Cabo de goede Hoop,label,nl
http://www.wikidata.org/entity/Q124823339,Carelsberg,http://www.wikidata.org/entity/Q7646305,Suriname,Carelsberg,label,en
http://www.wikidata.org/entity/Q124823339,Carelsberg,http://www.wikidata.org/entity/Q7646305,Suriname,Carelsberg,label,nl
http://www.wikidata.org/entity/Q124824453,Carthago,http://www.wikidata.org/entity/Q7646305,Suriname,Carthago,label,en
http://www.wikidata.org/entity/Q124824454,Catharinenburg,http://www.wikidata.org/entity/Q7646305,Suriname,Catharinenburg,label,en
http://www.wikidata.org/entity/Q124824454,Catharinenburg,http://www.wikidata.org/entity/Q7646305,Suriname,Catharinenburg,label,nl
http://www.wikidata.org/entity/Q124824456,Cayenne,http://www.wikidata.org/entity/Q7646305,Suriname,Cayenne,label,en
http://www.wikidata.org/entity/Q124824456,Cayenne,http://www.wikidata.org/entity/Q7646305,Suriname,Cayenne,label,nl
http://www.wikidata.org/entity/Q124825044,Charlottenburg,http://www.wikidata.org/entity/Q7646305,Suriname,Charlottenburg,label,en
http://www.wikidata.org/entity/Q124825044,Charlottenburg,http://www.wikidata.org/entity/Q7646305,Suriname,Charlottenburg,label,nl
http://www.wikidata.org/entity/Q124825046,Concordia,http://www.wikidata.org/entity/Q7646305,Suriname,Concordia (Para),label,en
http://www.wikidata.org/entity/Q124825046,Concordia,http://www.wikidata.org/entity/Q7646305,Suriname,Concordia,label,nl
http://www.wikidata.org/entity/Q124825047,Constantia,http://www.wikidata.org/entity/Q7646305,Suriname,Constantia,label,en
http://www.wikidata.org/entity/Q124825047,Constantia,http://www.wikidata.org/entity/Q7646305,Suriname,Plantage Constantia,alias,nl
http://www.wikidata.org/entity/Q124825047,Constantia,http://www.wikidata.org/entity/Q7646305,Suriname,Constantia,label,nl
http://www.wikidata.org/entity/Q124825049,Courtvlugt (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Courtvlugt (Land van),label,en
http://www.wikidata.org/entity/Q124825049,Courtvlugt (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Courtvlugt (Land van),label,nl
http://www.wikidata.org/entity/Q124827873,Crawassibo (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Crawassibo (Land van),label,en
http://www.wikidata.org/entity/Q124827873,Crawassibo (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Crawassibo (Land van),label,nl
http://www.wikidata.org/entity/Q124827874,Curaçao (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Curaçao (Land van),label,en
http://www.wikidata.org/entity/Q124827874,Curaçao (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Curaçao (Land van),label,nl
http://www.wikidata.org/entity/Q124827875,De Eendragt,http://www.wikidata.org/entity/Q7646305,Suriname,De Eendragt (Saramacca),label,en
http://www.wikidata.org/entity/Q124827875,De Eendragt,http://www.wikidata.org/entity/Q7646305,Suriname,De Eendracht,alias,nl
http://www.wikidata.org/entity/Q124827875,De Eendragt,http://www.wikidata.org/entity/Q7646305,Suriname,De Eendragt,label,nl
http://www.wikidata.org/entity/Q124827980,De Hoop,http://www.wikidata.org/entity/Q7646305,Suriname,Hoop,alias,en
http://www.wikidata.org/entity/Q124827980,De Hoop,http://www.wikidata.org/entity/Q7646305,Suriname,De Hoop,label,en
http://www.wikidata.org/entity/Q124827980,De Hoop,http://www.wikidata.org/entity/Q7646305,Suriname,De Hoop,alias,nl
http://www.wikidata.org/entity/Q124827980,De Hoop,http://www.wikidata.org/entity/Q7646305,Suriname,Hoop,alias,nl
http://www.wikidata.org/entity/Q124827980,De Hoop,http://www.wikidata.org/entity/Q7646305,Suriname,De Hoop,label,nl
http://www.wikidata.org/entity/Q124827981,De Hoop,http://www.wikidata.org/entity/Q7646305,Suriname,De Hoop,label,en
http://www.wikidata.org/entity/Q124827981,De Hoop,http://www.wikidata.org/entity/Q7646305,Suriname,De Hoop,label,nl
http://www.wikidata.org/entity/Q124827982,De Hulp,http://www.wikidata.org/entity/Q7646305,Suriname,De Hulp (Vredenburger),label,en
http://www.wikidata.org/entity/Q124827982,De Hulp,http://www.wikidata.org/entity/Q7646305,Suriname,De Hulp,label,nl
http://www.wikidata.org/entity/Q124827983,Den Berg,http://www.wikidata.org/entity/Q7646305,Suriname,Den Berg,label,en
http://www.wikidata.org/entity/Q124827983,Den Berg,http://www.wikidata.org/entity/Q7646305,Suriname,Den Berg,label,nl
http://www.wikidata.org/entity/Q124830243,De Nieuwe Hoop,http://www.wikidata.org/entity/Q7646305,Suriname,De Nieuwe Hoop (Saramacca),label,en
http://www.wikidata.org/entity/Q124830243,De Nieuwe Hoop,http://www.wikidata.org/entity/Q7646305,Suriname,Nieuw Hoop,alias,nl
http://www.wikidata.org/entity/Q124830243,De Nieuwe Hoop,http://www.wikidata.org/entity/Q7646305,Suriname,De Nieuwe Hoop,label,nl
http://www.wikidata.org/entity/Q124830244,De Vergunning,http://www.wikidata.org/entity/Q7646305,Suriname,De Vergunning,label,en
http://www.wikidata.org/entity/Q124830244,De Vergunning,http://www.wikidata.org/entity/Q7646305,Suriname,De Vergunning,label,nl
http://www.wikidata.org/entity/Q124830245,De Verwachting,http://www.wikidata.org/entity/Q7646305,Suriname,De Verwachting (Tapoeripa Kreek),label,en
http://www.wikidata.org/entity/Q124830245,De Verwachting,http://www.wikidata.org/entity/Q7646305,Suriname,De goede Verwachting,alias,nl
http://www.wikidata.org/entity/Q124830245,De Verwachting,http://www.wikidata.org/entity/Q7646305,Suriname,De Verwachting,label,nl
http://www.wikidata.org/entity/Q124830246,De Vier Gezusters,http://www.wikidata.org/entity/Q7646305,Suriname,De Vier Gezusters (Saramacca),label,en
http://www.wikidata.org/entity/Q124830246,De Vier Gezusters,http://www.wikidata.org/entity/Q7646305,Suriname,De 4 gezusters,alias,nl
http://www.wikidata.org/entity/Q124830246,De Vier Gezusters,http://www.wikidata.org/entity/Q7646305,Suriname,De Vier Gezusters,label,nl
http://www.wikidata.org/entity/Q124830360,De Vrede,http://www.wikidata.org/entity/Q7646305,Suriname,De Vrede (Parakreek),label,en
http://www.wikidata.org/entity/Q124830360,De Vrede,http://www.wikidata.org/entity/Q7646305,Suriname,De Vreede,alias,nl
http://www.wikidata.org/entity/Q124830360,De Vrede,http://www.wikidata.org/entity/Q7646305,Suriname,De Vrede,label,nl
http://www.wikidata.org/entity/Q124830361,De Vrede,http://www.wikidata.org/entity/Q7646305,Suriname,De Vrede (Pericakreek),label,en
http://www.wikidata.org/entity/Q124830361,De Vrede,http://www.wikidata.org/entity/Q7646305,Suriname,De Vreede,alias,nl
http://www.wikidata.org/entity/Q124830361,De Vrede,http://www.wikidata.org/entity/Q7646305,Suriname,De Vrede,label,nl
http://www.wikidata.org/entity/Q124830362,Dinas Mariashoop,http://www.wikidata.org/entity/Q7646305,Suriname,Dinas Mariashoop,label,en
http://www.wikidata.org/entity/Q124830445,Drie Gebroeders,http://www.wikidata.org/entity/Q7646305,Suriname,Drie Gebroeders,label,en
http://www.wikidata.org/entity/Q124830445,Drie Gebroeders,http://www.wikidata.org/entity/Q7646305,Suriname,Drie Gebroeders,label,nl
http://www.wikidata.org/entity/Q124830446,Eendragt,http://www.wikidata.org/entity/Q7646305,Suriname,Eendragt (Perica),label,en
http://www.wikidata.org/entity/Q124830446,Eendragt,http://www.wikidata.org/entity/Q7646305,Suriname,Eendracht,alias,nl
http://www.wikidata.org/entity/Q124830446,Eendragt,http://www.wikidata.org/entity/Q7646305,Suriname,Eendragt,label,nl
http://www.wikidata.org/entity/Q124830447,Eendragt (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Eendragt (Land van),label,en
http://www.wikidata.org/entity/Q124830447,Eendragt (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Eendracht (Land van),alias,nl
http://www.wikidata.org/entity/Q124830447,Eendragt (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Eendragt (Land van),label,nl
http://www.wikidata.org/entity/Q124830448,Eisingshulp,http://www.wikidata.org/entity/Q7646305,Suriname,Eisingshulp,label,en
http://www.wikidata.org/entity/Q124830479,Fortuin (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Fortuin (Land van),label,en
http://www.wikidata.org/entity/Q124830480,Fortwyk,http://www.wikidata.org/entity/Q7646305,Suriname,Fortwyk,label,en
http://www.wikidata.org/entity/Q124830481,Frederikslust,http://www.wikidata.org/entity/Q7646305,Suriname,Frederikslust (Pararak),label,en
http://www.wikidata.org/entity/Q124830481,Frederikslust,http://www.wikidata.org/entity/Q7646305,Suriname,Frederikslust,label,nl
http://www.wikidata.org/entity/Q124830482,Garciaskamp,http://www.wikidata.org/entity/Q7646305,Suriname,Garciaskamp (Suriname river),label,en
http://www.wikidata.org/entity/Q124830482,Garciaskamp,http://www.wikidata.org/entity/Q7646305,Suriname,Garciaskamp,label,nl
http://www.wikidata.org/entity/Q124830524,Gekroonde Paauw (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Gekroonde Paauw (Land van) (links),label,en
http://www.wikidata.org/entity/Q124830524,Gekroonde Paauw (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Gekroonde Paauw (Land van),label,nl
http://www.wikidata.org/entity/Q124830525,Gelre,http://www.wikidata.org/entity/Q7646305,Suriname,Gelre,label,en
http://www.wikidata.org/entity/Q124830525,Gelre,http://www.wikidata.org/entity/Q7646305,Suriname,Gelre,label,nl
http://www.wikidata.org/entity/Q124830526,Genoodzaakt,http://www.wikidata.org/entity/Q7646305,Suriname,Genoodzaakt,label,en
http://www.wikidata.org/entity/Q124830526,Genoodzaakt,http://www.wikidata.org/entity/Q7646305,Suriname,Genoodzaakt,label,nl
http://www.wikidata.org/entity/Q124830729,Guldenvlies,http://www.wikidata.org/entity/Q7646305,Suriname,Guldenvlies (Pararakweg),label,en
http://www.wikidata.org/entity/Q124830729,Guldenvlies,http://www.wikidata.org/entity/Q7646305,Suriname,Aan Guldenvlies,alias,nl
http://www.wikidata.org/entity/Q124830729,Guldenvlies,http://www.wikidata.org/entity/Q7646305,Suriname,Guldenvlies,label,nl
http://www.wikidata.org/entity/Q124830730,Haast U Langzaam,http://www.wikidata.org/entity/Q7646305,Suriname,Haast U Langzaam (Tapoeripa),label,en
http://www.wikidata.org/entity/Q124830730,Haast U Langzaam,http://www.wikidata.org/entity/Q7646305,Suriname,Haast U Langzaam,label,nl
http://www.wikidata.org/entity/Q124830731,Hamburg,http://www.wikidata.org/entity/Q7646305,Suriname,Hamburg,alias,en
http://www.wikidata.org/entity/Q124830731,Hamburg,http://www.wikidata.org/entity/Q7646305,Suriname,Hamburg (Saramacca),label,en
http://www.wikidata.org/entity/Q124830731,Hamburg,http://www.wikidata.org/entity/Q7646305,Suriname,Hamburg,label,nl
http://www.wikidata.org/entity/Q124830732,Hazard,http://www.wikidata.org/entity/Q7646305,Suriname,Hazard (Nickerie),label,en
http://www.wikidata.org/entity/Q124830732,Hazard,http://www.wikidata.org/entity/Q7646305,Suriname,Hazard,label,nl
http://www.wikidata.org/entity/Q124830792,Hazard,http://www.wikidata.org/entity/Q7646305,Suriname,Hazard (Pararakweg),label,en
http://www.wikidata.org/entity/Q124830792,Hazard,http://www.wikidata.org/entity/Q7646305,Suriname,Hazard,label,nl
http://www.wikidata.org/entity/Q124830793,Hermitage,http://www.wikidata.org/entity/Q7646305,Suriname,Hermitage,label,en
http://www.wikidata.org/entity/Q124830793,Hermitage,http://www.wikidata.org/entity/Q7646305,Suriname,Hermitage,label,nl
http://www.wikidata.org/entity/Q124830794,Hesterslust,http://www.wikidata.org/entity/Q7646305,Suriname,Hesterslust,label,en
http://www.wikidata.org/entity/Q124830794,Hesterslust,http://www.wikidata.org/entity/Q7646305,Suriname,Hesterslust,label,nl
http://www.wikidata.org/entity/Q124830795,Heystvliet (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Heysvliet (Land van),alias,en
http://www.wikidata.org/entity/Q124830795,Heystvliet (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Heystvliet (Land van),label,en
http://www.wikidata.org/entity/Q124830795,Heystvliet (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Heystvliet (Land van),alias,nl
http://www.wikidata.org/entity/Q124830795,Heystvliet (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Heysvliet (Land van),alias,nl
http://www.wikidata.org/entity/Q124830795,Heystvliet (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Merveille,alias,nl
http://www.wikidata.org/entity/Q124830795,Heystvliet (Land van),http://www.wikidata.org/entity/Q7646305,Suriname,Heystvliet (Land van),label,nl
